Order,L1,Excerpt1,L2,Excerpt2
1,Sp,47,Ge,22
2,It,39,It,3
3,Sp,30,Ge,5
4,Ta,15,Ge,3
5,Ja,28,Sp,16
6,Sp,2,It,17
7,Sp,32,En,6
8,Ge,16,Du,24
9,Ge,36,It,44
10,Sp,26,Sp,6
11,Du,18,En,40
12,Ja,25,It,48
13,En,12,It,16
14,It,45,En,15
15,En,35,Ta,19
16,Du,42,Du,11
17,Du,3,Du,1
18,Sp,37,It,20
19,En,4,Sp,19
20,Ta,35,It,29
21,Du,6,En,41
22,Sp,31,Ta,9
23,It,25,It,24
24,Ge,19,Du,31
25,Ja,33,Ta,39
26,Du,7,Ja,38
27,It,14,Du,21
28,Ja,43,It,21
29,En,7,Ge,41
30,Ge,15,It,13
31,Ja,48,It,22
32,It,19,Sp,13
33,Ja,4,Du,10
34,Ge,11,Ta,23
35,Du,12,Sp,39
36,En,23,Ta,41
37,Ta,30,Du,20
38,Ja,32,En,29
39,Ge,8,En,46
40,Sp,10,En,11
41,Du,45,Du,46
42,Du,19,Sp,29
43,En,25,It,33
44,Du,44,Ja,14
45,En,48,En,3
46,Ge,7,Ja,18
47,Ge,2,Ge,45
48,Du,40,Ja,34
49,Du,29,Ge,18
50,Du,32,Sp,41
51,Ta,44,En,18
52,Ta,36,Sp,3
53,It,43,Ge,40
54,Ge,4,Ge,46
55,Du,16,It,26
56,Sp,28,It,28
57,It,35,It,40
58,En,1,Ja,5
59,En,37,En,42
60,Ge,10,Ge,42
61,Ja,3,Ja,30
62,It,37,Ge,1
63,Sp,12,Ge,35
64,Ja,21,En,5
65,It,41,Ta,12
66,Ja,15,En,36
67,It,18,Ge,21
68,Ge,33,En,19
69,En,34,Du,34
70,Sp,11,It,10
71,Ja,16,Ja,36
72,Ja,17,Ja,2
73,Du,41,Ta,2
74,Du,48,Ge,25
75,Ge,37,Sp,33
76,Sp,45,Du,39
77,It,30,Du,13
78,Du,5,En,14
79,Ja,39,Ge,47
80,Ge,28,Du,25
81,Du,35,It,27
82,Ta,11,Ge,26
83,Ja,13,Ja,41
84,Du,14,En,44
85,Du,30,Du,2
86,En,47,En,28
87,Sp,18,Ja,8
88,Ta,38,Ta,31
89,It,2,It,1
90,Sp,48,Sp,15
91,Du,23,Sp,36
92,En,22,Sp,14
93,Ge,9,En,45
94,Du,15,It,9
95,Ta,16,Ja,19
96,Du,33,Du,37
97,Sp,21,Sp,35
98,Ge,29,Sp,44
99,Ta,34,Du,43
100,Ja,23,Du,47
101,Ta,25,Ja,12
102,Ta,48,Ta,14
103,Ge,30,Ge,23
104,It,15,Ja,29
105,Ta,33,Sp,22
106,Ta,32,En,27
107,En,13,It,32
108,Ja,35,It,38
109,It,31,Ta,6
110,Ta,28,Ta,45
111,En,32,It,12
112,En,30,Ta,29
113,Ge,39,Ge,20
114,Ge,24,En,39
115,En,20,Ta,47
116,It,36,It,23
117,Sp,1,Sp,4
118,Ta,43,Ta,42
119,En,8,En,17
120,Ja,44,Ja,47
121,Du,27,It,5
122,Ta,18,Sp,5
123,Ja,1,Ge,6
124,Ja,37,Sp,27
125,Du,22,Ta,27
126,Ja,10,Sp,42
127,It,42,Ja,27
128,Ja,22,Ja,31
129,Sp,9,Ta,17
130,En,24,Sp,43
131,Du,26,Ta,10
132,It,47,Ge,48
133,Ge,44,Ja,9
134,Ta,8,Sp,38
135,En,38,Ja,20
136,En,10,En,43
137,Du,4,Du,8
138,Sp,7,Sp,24
139,Ta,37,Ja,26
140,Ge,13,Ge,38
141,It,7,It,46
142,Ta,13,It,8
143,Ge,12,Ja,11
144,Sp,20,Sp,46
145,En,9,Du,17
146,Ge,31,En,26
147,Sp,17,En,31
148,It,4,Ta,1
149,Ta,26,It,34
150,Du,38,Ja,42
151,Ta,20,Ge,43
152,En,16,En,33
153,Sp,34,It,11
154,Ja,45,Sp,8
155,Sp,40,Ge,32
156,Ta,5,Ge,17
157,Ta,24,Ta,21
158,En,2,Ja,46
159,Du,28,Ge,14
160,Du,36,Ta,22
161,It,6,En,21
162,Ja,24,Ta,40
163,Ta,7,Ta,4
164,Du,9,Sp,23
165,Ja,6,Ge,34
166,Sp,25,Ja,7
167,Ge,27,Ta,3
168,Ta,46,Ja,40
