Order,L1,Excerpt1,L2,Excerpt2
1,It,26,It,16
2,Sp,45,Ta,14
3,Du,19,Du,22
4,It,30,En,46
5,Ta,7,Ja,38
6,En,19,Sp,19
7,Du,15,Sp,31
8,Ge,43,Du,18
9,Ta,17,It,10
10,Sp,13,Ta,36
11,En,42,Ge,20
12,Sp,20,Du,48
13,Ge,12,It,43
14,Ge,1,Ge,47
15,It,14,Du,10
16,Ja,34,Ge,34
17,Ta,31,Ge,19
18,Sp,29,Ja,45
19,Du,26,Du,35
20,Sp,27,En,23
21,En,45,It,40
22,Du,40,Ta,11
23,Ge,32,Ge,44
24,Ge,21,Ja,29
25,Ta,2,Ge,42
26,En,24,Du,6
27,Ta,47,Ta,29
28,Ta,5,En,26
29,It,29,Sp,25
30,Ge,4,Ta,39
31,Ja,20,Ge,48
32,Sp,34,It,45
33,Ge,14,En,13
34,En,7,Ta,34
35,Du,37,It,6
36,Sp,5,Ja,8
37,It,24,Ge,16
38,Ja,9,It,13
39,Ge,17,Ge,40
40,Sp,18,Ja,23
41,Ge,36,Sp,2
42,Ja,37,Ja,1
43,It,4,Ta,23
44,It,19,It,36
45,Ta,26,Ta,37
46,En,48,Ta,40
47,Ja,15,Ta,18
48,Sp,41,Sp,4
49,Ta,22,Sp,8
50,Ge,18,It,20
51,En,27,Du,32
52,It,46,Sp,40
53,Ja,24,En,1
54,Ja,33,It,39
55,Sp,23,Ta,25
56,Ta,24,Ta,38
57,Sp,24,Ge,35
58,It,28,It,18
59,Ja,25,Ja,36
60,Du,13,Ta,19
61,Ge,45,Ge,3
62,Ja,21,Ta,1
63,Ge,24,Ge,10
64,Du,1,Ge,33
65,En,5,Sp,1
66,Ja,44,Du,11
67,Ta,3,Ge,30
68,Ta,6,Du,2
69,En,34,En,40
70,Ta,4,It,22
71,En,17,Du,21
72,Ja,5,Du,45
73,Ja,3,Du,25
74,It,15,Ja,6
75,Ta,8,Ta,42
76,Ta,46,Ta,9
77,Ge,2,It,5
78,Ja,30,Ta,16
79,Ta,12,Sp,33
80,En,37,Ta,41
81,Ge,31,Ge,26
82,Sp,16,Sp,38
83,Du,23,Du,31
84,Ge,9,En,16
85,Sp,11,Ge,25
86,Ta,33,Ge,11
87,Du,39,It,3
88,Ja,16,Ta,35
89,Du,28,Sp,30
90,Ta,21,En,43
91,It,48,It,33
92,Ge,28,Ja,43
93,En,4,En,10
94,Du,20,It,8
95,Ge,27,En,6
96,Du,8,Ta,20
97,Sp,21,It,2
98,Ja,47,It,27
99,En,18,Ge,22
100,Sp,26,It,23
101,It,21,Ja,17
102,En,38,It,42
103,Ta,32,Ja,35
104,Du,7,Ge,13
105,En,11,Ja,40
106,Ja,14,Ge,38
107,Ja,12,Ja,27
108,En,36,Sp,6
109,Ta,43,Du,17
110,En,47,Ja,26
111,Ja,11,Du,44
112,En,32,Du,12
113,Ta,45,It,17
114,Du,46,Du,3
115,Sp,48,Du,42
116,Ja,31,Ja,10
117,Du,47,Ge,8
118,En,20,Ta,10
119,En,3,It,38
120,Sp,22,Ge,15
121,Ja,18,It,44
122,Du,16,Sp,14
123,En,8,En,30
124,It,41,Du,41
125,Sp,10,Sp,12
126,Ja,48,En,39
127,Du,43,Sp,32
128,It,47,Ta,28
129,Ja,19,Ja,41
130,En,31,It,34
131,Ta,44,Sp,44
132,Sp,39,Sp,47
133,Ja,32,Du,38
134,It,11,Ta,27
135,Du,14,Ta,48
136,Du,34,Ge,7
137,Ta,30,Ta,13
138,Ge,23,Ja,7
139,Sp,9,En,33
140,Sp,43,Sp,17
141,Ge,5,Du,24
142,Ja,46,En,21
143,Du,27,Du,29
144,Ta,15,Ge,29
145,Sp,42,Ja,4
146,Ge,39,Sp,46
147,Ja,13,En,35
148,Sp,15,Ja,39
149,Du,9,Du,30
150,Ge,46,Sp,35
151,Sp,36,En,14
152,Du,5,It,12
153,Ja,28,Ja,2
154,Ge,37,It,25
155,En,2,En,9
156,It,32,Sp,3
157,Ge,41,En,15
158,Ge,6,It,31
159,Du,4,Ja,42
160,It,35,It,37
161,En,25,En,41
162,Sp,28,Sp,37
163,En,44,Du,33
164,En,29,It,1
165,Sp,7,Ja,22
166,It,9,It,7
167,Du,36,En,22
168,En,28,En,12
