Order,L1,Excerpt1,L2,Excerpt2
1,Ge,41,Ge,42
2,Du,48,En,4
3,Du,39,It,31
4,It,2,En,40
5,Ge,1,Du,41
6,It,21,Ta,25
7,Ge,4,It,37
8,Ja,16,Ta,17
9,Sp,31,Sp,24
10,Ta,20,Ja,3
11,Sp,28,It,18
12,Sp,11,Ge,31
13,Ge,27,Ge,17
14,Ja,39,Ta,44
15,En,22,Sp,3
16,It,45,Ta,13
17,En,8,Ta,30
18,Ge,36,En,34
19,It,48,It,24
20,Du,29,Ta,37
21,Ja,25,It,16
22,It,11,Ge,34
23,Ge,16,It,22
24,Sp,41,Sp,34
25,Ge,38,Ta,47
26,Ja,7,Ge,9
27,Du,22,Du,19
28,Du,40,Du,20
29,Ta,34,Sp,13
30,Ja,10,En,13
31,Ja,15,Ja,31
32,Du,38,Ge,15
33,Ja,44,Ta,39
34,Du,27,Sp,23
35,Sp,12,Sp,32
36,En,39,En,20
37,En,26,En,18
38,Ta,11,Ge,19
39,En,44,Ja,18
40,En,47,Ge,45
41,Ja,5,Du,28
42,En,7,Du,31
43,Sp,2,Ja,32
44,Ta,28,It,46
45,En,35,Sp,26
46,Ta,38,Ta,12
47,Du,24,Sp,22
48,Du,3,Du,13
49,Ta,46,Ja,46
50,En,43,Sp,19
51,Ja,28,It,47
52,Sp,42,Ge,10
53,Ta,1,Ta,21
54,It,36,It,44
55,It,1,It,19
56,Ja,24,Ja,36
57,Du,11,Sp,7
58,Sp,40,It,32
59,Ge,35,Du,42
60,Sp,47,En,42
61,En,31,En,12
62,Du,9,It,35
63,Ta,3,Sp,8
64,Sp,6,Ge,30
65,Du,26,En,5
66,Ge,46,Ge,48
67,En,37,Ja,11
68,It,4,It,9
69,Du,35,Ja,12
70,Sp,14,Du,16
71,Ja,34,Ge,13
72,Ta,36,Ta,9
73,Ta,5,Sp,39
74,Ta,22,Sp,45
75,Ge,14,Ge,28
76,Ja,27,It,27
77,En,11,En,25
78,En,32,En,41
79,It,3,En,24
80,Ja,41,Ja,21
81,Du,15,Sp,15
82,Du,14,Du,18
83,En,3,It,10
84,Ja,37,Ja,2
85,Ta,32,It,39
86,Ge,3,Sp,16
87,It,6,It,7
88,Ge,22,Du,6
89,It,8,Ge,43
90,Du,36,En,2
91,En,1,Ta,15
92,Du,37,Ja,6
93,Ja,29,Ta,40
94,Ja,19,Ja,43
95,It,41,Ge,21
96,Ge,40,Ja,40
97,En,33,Ge,5
98,It,23,Sp,5
99,Sp,38,Sp,25
100,Ja,9,Du,33
101,Ta,14,En,29
102,It,33,Ge,2
103,En,17,Ge,18
104,Ta,4,Ta,43
105,Ta,7,Du,5
106,It,26,Sp,44
107,Sp,36,Ja,33
108,Ge,8,Ge,11
109,Ja,22,Ge,44
110,Ja,8,It,28
111,Sp,37,En,21
112,Sp,10,Ge,24
113,It,5,Sp,21
114,Ja,30,Du,7
115,Du,32,Du,34
116,En,14,It,30
117,It,14,Sp,33
118,Sp,48,Ja,42
119,Du,2,Ta,33
120,Ta,26,Sp,46
121,En,19,It,25
122,En,6,Ta,35
123,Du,43,Ta,2
124,Du,8,It,42
125,It,38,Ta,6
126,En,46,Ja,17
127,Ge,47,Ta,8
128,En,28,En,45
129,En,10,Du,4
130,Du,30,It,17
131,Ge,7,Ta,31
132,Ja,48,Ja,38
133,Ja,13,En,48
134,Du,47,Sp,30
135,Sp,18,Sp,20
136,Ge,32,Ta,16
137,Ta,41,Ta,18
138,Sp,1,Sp,35
139,Du,25,It,12
140,Ge,39,En,16
141,Sp,9,Ja,35
142,Ta,42,Du,46
143,En,38,It,15
144,En,15,Du,23
145,Du,21,It,40
146,Du,45,Du,17
147,Ja,45,Ge,37
148,Sp,29,Ge,25
149,Ja,4,Sp,4
150,Ta,48,Ge,33
151,Ta,10,Ta,29
152,Du,1,Ja,26
153,Ge,23,Du,44
154,It,13,It,20
155,It,34,Ta,45
156,Ja,23,It,43
157,Ja,20,Ge,26
158,Ge,6,En,9
159,Ge,20,Ge,29
160,Ta,19,Sp,17
161,Du,10,Ge,12
162,Ta,27,Du,12
163,En,23,Ja,14
164,It,29,Ja,47
165,En,30,Sp,43
166,En,36,Ta,24
167,Sp,27,Ja,1
168,En,27,Ta,23
