Order,L1,Excerpt1,L2,Excerpt2
1,Du,43,Ta,16
2,Ge,27,Ta,30
3,En,20,En,38
4,Ta,34,Ta,44
5,Du,10,Sp,23
6,En,32,Ta,42
7,It,10,Du,16
8,Sp,38,Ta,41
9,Ta,3,Ta,21
10,Ge,45,Ta,47
11,Sp,8,Sp,1
12,Du,1,Ge,3
13,Ge,40,Sp,16
14,It,8,It,35
15,Ja,24,Ja,43
16,Ta,38,Du,11
17,Ta,17,It,13
18,It,16,Sp,20
19,Ge,29,Ge,11
20,Ta,43,En,8
21,Sp,46,Ta,26
22,Ge,23,Ja,11
23,En,37,Ge,42
24,Du,37,Sp,3
25,Sp,30,En,42
26,Sp,31,It,43
27,Ta,19,Du,29
28,Ja,47,Sp,10
29,En,46,Du,17
30,Sp,44,Sp,22
31,Ge,10,En,30
32,Du,31,Ge,39
33,It,48,Ta,2
34,It,31,En,39
35,Du,27,Ge,12
36,Ja,18,Ja,12
37,Ja,46,Sp,40
38,It,47,Ja,15
39,En,28,Ge,4
40,Ja,7,Ja,8
41,Sp,43,En,34
42,It,37,It,11
43,Sp,35,Ge,15
44,Ja,20,Ja,29
45,Ta,32,Ta,9
46,En,16,Ja,36
47,Ta,13,Du,35
48,Du,36,Du,41
49,It,2,Ta,27
50,Ta,29,En,41
51,Ja,38,Sp,45
52,Ja,33,Du,30
53,Ge,1,Sp,19
54,Du,32,Ge,20
55,Ta,12,Ja,34
56,Ge,46,Ge,34
57,En,10,Ja,9
58,It,22,Ta,23
59,Ja,21,Ge,13
60,En,24,En,44
61,Ja,6,Ja,10
62,Du,45,En,22
63,Du,7,It,32
64,Du,12,It,28
65,Ge,43,Ja,27
66,Ge,22,Ge,5
67,En,35,It,4
68,It,34,It,17
69,Ge,6,Ja,30
70,Ja,45,It,27
71,It,12,It,19
72,Ge,9,Ta,15
73,Ja,23,It,40
74,En,14,Ta,37
75,It,18,Sp,2
76,Du,6,Ja,22
77,Sp,11,Sp,34
78,Ja,14,Sp,13
79,En,27,En,13
80,It,20,En,40
81,It,26,Du,38
82,Sp,27,Ta,20
83,Ja,3,Du,28
84,Ja,28,Sp,33
85,Sp,28,Du,42
86,En,29,Sp,41
87,En,43,Ja,19
88,Sp,15,Du,39
89,Ge,31,Ge,2
90,Sp,39,Ja,25
91,Ge,26,Du,46
92,It,9,Ge,24
93,Du,5,Ge,17
94,Sp,21,Ta,35
95,En,1,Du,18
96,Sp,9,Sp,5
97,Ja,48,Ta,24
98,Du,34,Sp,47
99,Du,4,Ja,17
100,En,6,It,33
101,Sp,6,Ge,21
102,Ja,1,It,25
103,Ge,37,Sp,29
104,En,36,Du,15
105,Ta,5,En,5
106,Du,22,Sp,32
107,Ge,16,Ge,36
108,Sp,18,Ge,30
109,En,18,En,17
110,It,41,It,21
111,Ja,35,It,23
112,Ta,39,Ge,48
113,Ja,5,Du,33
114,It,1,Ge,33
115,Ja,16,En,26
116,It,44,Ge,28
117,Sp,48,It,3
118,Ta,8,Ta,45
119,Ta,28,Sp,7
120,It,46,Sp,36
121,Ja,4,En,3
122,It,15,Ta,10
123,Ta,6,Ja,32
124,Ta,7,Ja,37
125,Ge,47,Ge,25
126,Du,3,Du,26
127,Ge,44,En,11
128,Ta,36,Ta,1
129,En,15,It,5
130,It,30,Ta,14
131,Ge,19,Ja,40
132,En,45,En,31
133,Du,48,It,6
134,Ge,14,Ta,25
135,Du,47,Ta,11
136,Du,21,Du,19
137,Ta,4,Ja,2
138,It,24,It,39
139,Du,13,Du,40
140,Ta,46,Sp,42
141,En,4,Du,23
142,Du,2,Du,8
143,En,9,Sp,12
144,En,2,Ge,35
145,Ta,40,Du,44
146,Ge,32,It,14
147,Sp,25,Sp,24
148,En,12,Sp,17
149,Ja,31,Du,24
150,Du,20,En,21
151,Sp,37,It,38
152,En,47,En,48
153,It,42,Ja,41
154,Du,9,It,29
155,En,7,Sp,14
156,En,19,Ge,8
157,It,7,Ge,18
158,En,23,It,45
159,Ge,38,It,36
160,Ta,18,Ge,41
161,Ge,7,Ja,44
162,Ja,26,Ja,42
163,En,25,Ta,33
164,Sp,26,Sp,4
165,Ta,22,Ta,31
166,Ja,39,Ta,48
167,En,33,Ja,13
168,Du,14,Du,25
