Order,L1,Excerpt1,L2,Excerpt2
1,Ge,42,Sp,3
2,Sp,23,Ge,47
3,Ja,43,Ja,37
4,En,17,Sp,5
5,En,6,En,28
6,Ta,3,Ta,41
7,Ja,18,It,1
8,Sp,24,Sp,35
9,It,28,Ta,8
10,It,44,Ta,24
11,Du,18,Ta,39
12,Ge,12,Ja,48
13,It,9,En,39
14,It,41,Du,43
15,Ta,25,Sp,4
16,It,42,Ge,18
17,Ge,3,Ta,12
18,It,29,Ta,40
19,Sp,20,Sp,9
20,Sp,7,Du,7
21,Du,41,Ja,5
22,Ja,12,Ge,38
23,Du,4,En,25
24,Du,28,Ja,39
25,Du,46,Ta,22
26,It,39,En,4
27,Ja,14,Ja,2
28,Du,33,Ta,46
29,Ja,47,Sp,17
30,Sp,22,It,37
31,Du,26,Du,44
32,Ja,19,En,44
33,It,47,En,22
34,It,13,It,21
35,Ta,18,Ta,1
36,En,3,Ja,40
37,Ja,28,En,35
38,Ja,3,Ge,43
39,Sp,12,Ta,31
40,En,33,Ja,10
41,Ge,5,Du,30
42,Ge,36,Du,27
43,Ta,30,Ta,9
44,Ta,29,Sp,38
45,Ta,23,Sp,34
46,Ge,11,Ge,9
47,Du,17,It,40
48,En,37,En,9
49,Ja,11,En,46
50,Ge,10,Ge,23
51,Ja,13,It,27
52,Ja,1,Ja,32
53,En,8,Ta,19
54,Sp,21,Ge,48
55,Ge,26,Ge,46
56,It,12,Sp,25
57,Du,40,Sp,1
58,Du,12,Du,22
59,En,5,Ta,6
60,Ta,33,It,14
61,Ja,42,Ta,32
62,Ge,37,Ja,6
63,En,42,Du,23
64,Sp,45,En,30
65,Sp,33,It,20
66,Ta,27,It,30
67,Sp,2,It,35
68,Ta,44,Ja,8
69,It,6,Ge,33
70,Du,20,Sp,30
71,Ge,1,Sp,6
72,Ja,44,Ta,38
73,Sp,46,Sp,39
74,En,32,En,2
75,Ja,21,Ja,20
76,Du,21,Du,39
77,Du,19,Sp,42
78,Ge,44,En,13
79,Ge,40,Ge,22
80,Ta,20,Sp,18
81,Du,2,Ta,21
82,En,24,Sp,10
83,Du,24,Du,8
84,It,46,Du,48
85,Sp,44,Sp,31
86,It,15,It,8
87,Sp,32,Sp,15
88,It,19,It,16
89,En,31,Ge,19
90,Ta,34,It,45
91,En,21,It,33
92,En,11,Du,34
93,En,29,En,10
94,Ta,37,Du,42
95,Ja,30,It,25
96,Ja,22,Sp,40
97,Ge,45,Ge,21
98,En,18,Ge,35
99,Ja,23,Sp,41
100,Ja,31,En,34
101,It,5,It,38
102,Ja,25,Ja,17
103,Sp,43,It,3
104,Ge,32,Ta,26
105,En,43,Ge,2
106,Ja,24,Sp,29
107,Ja,29,It,26
108,En,23,Sp,14
109,En,20,En,1
110,En,14,Ge,4
111,Ta,17,Ta,35
112,Du,37,Ja,38
113,Sp,37,Ta,10
114,It,10,Ge,16
115,Sp,13,Du,9
116,Ge,41,Sp,16
117,Ta,42,Du,6
118,Ta,28,Ge,28
119,Ge,8,Du,11
120,Du,16,Du,13
121,Ge,15,Ja,16
122,Ja,9,Sp,28
123,En,36,Ge,14
124,Ja,35,It,17
125,Du,5,Ja,46
126,It,32,It,22
127,It,43,Du,25
128,Sp,36,En,26
129,Ja,4,Ta,14
130,It,48,Du,36
131,Du,14,Ja,27
132,Ge,29,Ge,30
133,Ta,16,En,27
134,Ta,48,Ge,31
135,Ja,34,Sp,19
136,It,36,Ge,25
137,Du,3,It,24
138,It,7,It,34
139,Du,31,Du,15
140,En,38,Ta,45
141,Ge,27,Du,38
142,Ja,33,Ja,45
143,Ge,34,Du,29
144,En,47,En,16
145,Sp,27,Ge,39
146,Sp,11,Sp,26
147,Du,10,En,12
148,Ja,26,Du,47
149,Ja,36,Ta,15
150,Du,45,En,48
151,It,2,Ge,24
152,En,45,It,31
153,It,23,En,19
154,Ge,7,Ta,5
155,Ta,4,Ta,47
156,It,18,Sp,48
157,Sp,8,En,40
158,Du,35,Ge,17
159,Du,1,En,41
160,Ge,13,It,11
161,Ta,7,Ta,13
162,Ge,20,Ja,41
163,Ja,15,Ta,11
164,Ta,2,Ge,6
165,Ta,36,En,7
166,Du,32,Sp,47
167,En,15,Ta,43
168,It,4,Ja,7
