Order,L1,Excerpt1,L2,Excerpt2
1,Sp,18,Sp,9
2,Sp,22,Ja,3
3,It,18,En,2
4,Du,44,En,37
5,Ta,17,It,40
6,Ja,24,Ja,44
7,Ge,33,Ta,20
8,Sp,31,Ge,25
9,Du,45,Ta,32
10,Ta,15,Sp,11
11,Ta,1,Ge,23
12,Sp,27,Du,7
13,Ja,7,Ja,9
14,Du,21,Du,38
15,It,3,Ta,41
16,Ge,26,Ja,1
17,Ge,32,En,40
18,Ge,36,Sp,46
19,Ta,30,Du,26
20,Ge,10,Ge,15
21,Ge,5,En,15
22,En,20,En,33
23,Ja,39,En,9
24,Sp,30,Sp,1
25,Sp,41,Ge,38
26,Ta,18,Ge,17
27,En,44,En,47
28,Ta,6,Ta,44
29,En,30,Du,9
30,Sp,12,It,4
31,En,45,En,25
32,Ja,20,Ja,10
33,Ja,12,Ta,8
34,It,19,It,29
35,It,23,It,2
36,Du,47,Sp,8
37,En,26,En,22
38,Sp,2,En,31
39,It,24,Sp,23
40,Ge,11,Ja,36
41,Ja,37,Ta,47
42,Sp,15,Ja,47
43,Ta,27,En,19
44,En,3,Du,13
45,It,8,Du,18
46,Ge,43,Sp,47
47,Ge,3,It,5
48,Sp,33,Ge,44
49,It,28,Ja,18
50,It,37,Du,33
51,Sp,29,Ta,25
52,Ja,38,En,4
53,Ja,27,Sp,5
54,Ge,37,Du,41
55,It,7,Ge,16
56,Ja,28,It,25
57,Sp,20,En,27
58,Du,34,Du,32
59,Du,24,It,17
60,It,22,It,42
61,En,16,Ta,26
62,Ja,29,Ge,47
63,Ta,3,It,30
64,Du,46,Ta,37
65,It,47,Sp,10
66,Sp,36,Sp,24
67,Ja,23,Ja,40
68,Du,28,Sp,17
69,Ge,1,Du,10
70,Sp,45,Ta,43
71,Ja,4,Ge,29
72,Ta,46,Ge,20
73,Du,12,Ge,14
74,Ta,11,Ja,46
75,Ge,18,It,45
76,Ja,14,En,46
77,Du,43,It,46
78,Ta,19,Ta,36
79,En,42,Du,3
80,Ta,45,En,36
81,Du,17,Du,27
82,En,35,En,8
83,Ta,31,Ja,16
84,Ge,8,Ge,12
85,Sp,21,Sp,40
86,Ge,24,Ja,19
87,Sp,6,Ja,43
88,Ge,22,Du,8
89,It,31,It,41
90,En,18,Du,22
91,Ta,28,Ta,5
92,En,41,It,15
93,Du,35,Du,19
94,It,48,Sp,25
95,Ja,22,Ta,48
96,It,35,Ta,7
97,Ja,2,Ge,7
98,Ja,26,Du,14
99,Ta,21,Ta,16
100,Ge,19,Ta,2
101,En,11,En,6
102,Ge,13,En,32
103,Ta,39,Ta,12
104,Ge,9,Ge,34
105,Sp,14,En,43
106,It,39,It,11
107,Ja,34,En,29
108,En,13,Ta,9
109,It,16,En,21
110,Du,2,Du,29
111,Ja,32,It,33
112,Du,30,Du,48
113,It,14,Ge,40
114,Du,31,Ta,33
115,Sp,35,Ta,22
116,Ge,42,Ge,35
117,It,6,Ja,31
118,It,21,Sp,3
119,Sp,28,Ge,4
120,En,24,Ge,41
121,Ge,39,En,10
122,Ja,48,It,9
123,Ta,23,Ge,28
124,Ja,21,En,28
125,Sp,48,Du,23
126,Du,16,It,32
127,Ja,41,Du,42
128,It,38,Ja,6
129,Ja,15,Ja,33
130,Sp,38,En,39
131,It,44,Ta,42
132,Du,20,Ge,31
133,Ta,10,Sp,16
134,Ta,40,Ta,24
135,Ta,29,Ja,42
136,Ge,30,It,13
137,It,27,En,12
138,Ja,13,Du,15
139,Ta,34,It,10
140,Sp,43,Sp,42
141,It,36,It,26
142,Du,11,Ja,30
143,Ja,11,Ja,8
144,Ge,45,It,34
145,Ge,48,Ge,6
146,Ja,25,Sp,44
147,Du,25,Ta,38
148,Du,1,Ja,5
149,Ta,14,Du,37
150,Ta,13,En,14
151,Sp,32,Du,40
152,Du,4,Sp,34
153,It,1,En,23
154,Sp,37,En,5
155,Sp,26,Ja,35
156,Sp,7,En,17
157,En,38,Du,6
158,Ge,46,En,48
159,Du,5,Ge,2
160,Du,39,It,12
161,It,20,Sp,39
162,Sp,13,Sp,4
163,Sp,19,Ta,4
164,It,43,En,34
165,Ja,17,Du,36
166,En,1,Ta,35
167,En,7,Ja,45
168,Ge,27,Ge,21
