Order,L1,Excerpt1,L2,Excerpt2
1,En,41,Ge,20
2,Ta,37,Du,29
3,Sp,15,Ja,22
4,Ta,44,Ja,39
5,It,43,En,35
6,Ta,35,Du,1
7,Ja,37,It,12
8,Du,38,Du,22
9,Ge,14,Du,32
10,Sp,28,Ja,14
11,Du,36,It,25
12,Du,20,Ta,27
13,Sp,44,En,8
14,Sp,21,Ta,40
15,Ja,19,Ge,23
16,Sp,12,En,14
17,Du,15,Du,21
18,Ge,33,Sp,45
19,En,21,En,16
20,En,39,En,42
21,Du,42,En,2
22,Ja,25,Ge,25
23,Ge,5,Sp,19
24,Ja,10,En,11
25,Ge,8,Du,13
26,Ja,27,Ta,21
27,Ja,6,En,34
28,Sp,25,Du,14
29,En,17,Ja,7
30,En,46,Ge,30
31,Ja,40,Ge,44
32,Ta,20,Sp,7
33,Ja,32,Sp,47
34,Ge,19,En,29
35,Ja,34,Ja,33
36,Ja,8,Sp,14
37,Ge,39,En,19
38,Ge,2,Ta,11
39,Sp,41,Ge,21
40,It,6,Sp,1
41,It,29,Ta,18
42,Sp,23,Ta,34
43,It,47,It,35
44,Ge,40,Ta,8
45,En,28,En,1
46,Sp,36,Ja,38
47,Du,11,Ge,22
48,Sp,35,Ge,32
49,Sp,43,Ge,36
50,Sp,42,Du,19
51,It,16,It,1
52,Du,43,Du,4
53,Ge,43,Ge,6
54,Ge,24,Ta,29
55,It,33,En,30
56,En,9,Ta,5
57,Sp,24,Sp,29
58,Sp,37,Sp,9
59,Ta,26,Ta,25
60,Sp,31,En,20
61,Ja,11,It,24
62,Ja,9,Ja,23
63,Ja,28,It,21
64,Ta,33,Du,31
65,En,3,Du,6
66,Du,40,Ta,41
67,Sp,46,It,48
68,Sp,5,It,40
69,It,23,Ta,31
70,Ta,38,Ta,47
71,Ta,7,Ta,9
72,Sp,17,Sp,18
73,Ja,21,It,37
74,Du,10,Ja,44
75,Du,45,Sp,6
76,Du,41,It,2
77,Ja,47,Ta,45
78,Ta,3,Ta,17
79,Sp,48,Sp,38
80,Ge,16,Sp,2
81,Du,39,It,36
82,Ge,15,It,10
83,Sp,3,It,34
84,Ja,46,Ja,41
85,It,5,Ge,28
86,It,9,Ge,47
87,Ge,37,It,8
88,En,5,En,7
89,Ta,19,Ta,22
90,Ja,42,Du,35
91,En,4,Ta,4
92,En,12,Ta,42
93,Du,27,Ta,15
94,Du,7,Ge,34
95,Ge,4,Ge,13
96,It,3,Ta,2
97,Ta,43,Ge,29
98,Du,47,It,38
99,Ta,13,Sp,20
100,En,43,Ja,16
101,Sp,4,It,15
102,Du,30,Du,33
103,Ta,12,En,25
104,It,13,En,22
105,Du,48,En,27
106,Du,46,Sp,27
107,It,17,Du,26
108,It,22,Ge,26
109,Ge,7,En,13
110,Ge,46,Ge,35
111,Ja,26,Ta,23
112,En,33,Du,37
113,Ta,24,It,18
114,Ja,29,Du,17
115,Sp,32,Ja,24
116,It,27,En,23
117,Sp,16,Sp,40
118,Ja,4,Du,5
119,Ja,30,Ge,3
120,Du,16,Ge,12
121,Ge,27,Ge,48
122,It,41,Sp,8
123,It,20,It,14
124,Ge,38,Ja,36
125,It,45,It,32
126,En,15,En,31
127,Ge,31,Ta,32
128,Ta,1,Sp,30
129,Du,9,It,44
130,En,18,It,30
131,En,10,Sp,26
132,Ja,43,Ta,48
133,It,7,Ja,15
134,Ja,31,Ja,3
135,Sp,33,En,40
136,En,36,It,19
137,Ge,41,En,44
138,Ja,48,Du,12
139,Ta,16,Ja,35
140,Du,25,Sp,34
141,En,38,En,32
142,It,26,Ta,10
143,Ge,9,Ge,11
144,Du,2,Du,44
145,Ja,2,Ge,18
146,Du,34,En,6
147,Ta,36,Sp,10
148,Du,3,Ja,5
149,It,11,Ja,18
150,It,4,Ta,46
151,Du,28,Du,8
152,En,37,Ta,30
153,Ja,45,Ja,1
154,It,39,It,28
155,Sp,39,Du,23
156,Ge,1,Du,18
157,En,48,Sp,13
158,En,24,Ja,20
159,Ge,17,Ta,6
160,It,31,It,42
161,Ja,12,Ja,13
162,Ge,10,Ge,45
163,En,26,Ta,28
164,En,47,Du,24
165,Ta,39,Ta,14
166,Ge,42,It,46
167,Ja,17,En,45
168,Sp,22,Sp,11
