Order,L1,Excerpt1,L2,Excerpt2
1,Du,1,Sp,29
2,Ge,47,Ja,4
3,Ge,25,It,10
4,Ge,21,Ge,41
5,Sp,37,Sp,20
6,Ta,16,Ta,29
7,Ja,37,Ja,27
8,Ta,6,Ge,42
9,Ta,48,Ge,22
10,Ja,30,En,26
11,Ta,40,Ta,41
12,Du,13,Du,35
13,Sp,26,Ja,2
14,Sp,35,Ja,46
15,Ta,20,Ja,28
16,Sp,4,It,25
17,Du,38,Ja,18
18,En,14,En,31
19,It,30,It,26
20,Ge,7,Du,31
21,Ja,9,Du,40
22,Ta,37,En,35
23,Sp,10,Ge,5
24,Ja,3,Du,42
25,Ta,14,It,27
26,Ge,15,It,28
27,Ta,22,Ge,34
28,En,25,Du,28
29,Du,48,Du,47
30,Du,25,Ta,19
31,Ta,9,En,12
32,Sp,38,Sp,21
33,Ja,8,Sp,17
34,Du,9,Ta,30
35,Ja,39,En,32
36,Sp,39,It,9
37,En,5,Ja,15
38,It,5,Sp,22
39,Ge,23,Du,15
40,Ta,2,Ta,27
41,Du,4,En,33
42,Ta,21,Ta,45
43,It,40,It,43
44,Sp,6,En,34
45,Sp,5,Ta,42
46,It,1,Ge,31
47,Ge,30,Ge,6
48,It,14,It,11
49,Sp,24,Sp,44
50,Ge,19,En,36
51,En,7,Ja,33
52,Ta,7,Ja,14
53,It,42,Ja,26
54,En,23,Sp,11
55,Ge,10,It,3
56,En,24,Du,39
57,Ja,44,Du,37
58,Du,7,En,43
59,Ja,29,Sp,45
60,Ge,40,Sp,25
61,It,18,Ja,21
62,Du,34,Du,44
63,Sp,42,Ge,32
64,Ja,20,Ta,23
65,Ta,4,En,11
66,En,30,Ge,39
67,Ja,17,Ge,35
68,Ja,11,Ja,45
69,Ja,41,Ge,43
70,Ta,39,Du,11
71,Ja,13,It,38
72,Ta,17,Ta,1
73,It,48,Ta,25
74,Ge,2,Du,26
75,En,38,En,15
76,Ta,12,It,4
77,Sp,18,Ta,43
78,Ja,23,Ja,22
79,Sp,47,It,22
80,En,17,En,22
81,Sp,33,Ge,24
82,Ja,38,En,41
83,Ta,11,Sp,36
84,En,48,Ge,28
85,It,31,It,12
86,Ja,43,Ja,6
87,Ja,7,Ge,3
88,Ta,36,Sp,27
89,It,32,It,34
90,Du,46,Ja,1
91,Du,8,It,13
92,It,44,Du,36
93,It,45,Ta,44
94,Ja,40,Sp,19
95,Ta,15,Ja,36
96,Ta,46,Ge,18
97,Ja,10,It,39
98,Ge,38,Ge,45
99,Ge,11,Du,20
100,Du,14,Ta,24
101,It,7,Sp,48
102,Du,29,Du,6
103,Sp,34,Sp,1
104,Ge,1,Ge,14
105,Ja,48,Ja,5
106,Ge,26,Ta,10
107,Sp,8,Sp,7
108,Sp,30,Ge,29
109,Sp,14,En,46
110,It,17,Du,43
111,Ta,34,Ja,19
112,Du,33,Ta,31
113,Ge,16,En,47
114,Sp,31,En,45
115,Sp,46,Sp,13
116,En,29,En,20
117,Ge,20,En,42
118,Ta,3,Ta,8
119,Sp,16,Ta,32
120,Ja,32,Ta,38
121,Ja,34,Du,19
122,Du,22,Sp,3
123,Sp,28,En,28
124,Ge,13,Ge,33
125,Ja,42,Ge,37
126,Ta,47,En,44
127,It,47,Ja,25
128,Du,41,Du,10
129,En,16,It,29
130,Du,2,Du,45
131,Du,30,Ge,9
132,Du,17,It,20
133,En,21,It,2
134,En,2,It,8
135,Sp,23,Ja,47
136,En,1,It,46
137,Ta,5,En,40
138,Ta,26,It,33
139,En,18,Sp,9
140,Ge,44,It,23
141,It,41,Ta,13
142,Ja,12,Ja,24
143,Ja,16,En,8
144,Ta,35,Ge,17
145,En,9,It,6
146,Sp,2,Ta,33
147,En,19,Du,12
148,En,3,Ta,18
149,En,4,En,27
150,Ge,12,Ge,4
151,Ta,28,Du,5
152,It,36,Du,3
153,En,10,It,35
154,It,21,Du,23
155,Sp,43,Du,16
156,En,6,Ge,48
157,Ge,8,Ja,31
158,It,24,It,16
159,Sp,40,It,15
160,Ge,36,Sp,15
161,Sp,41,Du,32
162,En,13,En,37
163,Ge,27,It,19
164,Du,24,Sp,12
165,Du,18,Ge,46
166,Ja,35,It,37
167,En,39,Du,21
168,Sp,32,Du,27
