Order,L1,Excerpt1,L2,Excerpt2
1,Du,21,Sp,26
2,Ja,15,Ta,44
3,Sp,27,Du,45
4,It,26,It,19
5,Sp,15,En,13
6,Du,28,It,43
7,Sp,47,Ja,42
8,Ja,36,Ja,9
9,Ja,13,Du,27
10,Sp,44,Du,32
11,En,45,En,17
12,Du,22,Ge,36
13,Ja,2,Du,36
14,It,41,Ge,4
15,Sp,2,Ge,7
16,Ta,32,Ja,8
17,En,37,Ta,26
18,Sp,14,Sp,22
19,Sp,45,Ta,3
20,Du,5,Du,11
21,En,3,En,11
22,Ja,29,Du,41
23,Ta,16,En,26
24,It,4,Ta,12
25,Ja,45,En,12
26,Ge,33,Ta,9
27,Ta,7,Sp,19
28,Ja,40,Ja,38
29,Du,25,Ge,16
30,Ja,10,Du,37
31,En,39,Sp,6
32,Ta,39,En,10
33,Ta,24,It,39
34,Ta,46,Du,17
35,Ja,1,Ja,41
36,It,23,En,4
37,Ta,2,Ge,17
38,Ja,16,Du,26
39,It,31,Ge,29
40,Ja,4,It,10
41,It,34,It,47
42,Ge,25,Ge,6
43,Ge,10,Ge,42
44,Ge,2,Ja,27
45,It,48,Ja,28
46,Ge,28,Ja,43
47,Ge,19,Ge,32
48,Du,7,Du,16
49,Sp,48,Sp,39
50,Ge,21,En,7
51,It,42,Du,8
52,Ta,36,Ta,29
53,It,8,Du,42
54,Du,1,En,33
55,It,45,Sp,25
56,It,33,En,46
57,En,41,En,44
58,En,29,It,13
59,It,32,Sp,30
60,Sp,35,Du,9
61,Ja,32,Ja,23
62,En,40,It,5
63,Ja,33,Ta,31
64,Sp,20,En,22
65,Ta,6,En,20
66,It,37,Sp,13
67,En,2,Du,33
68,Ja,12,Sp,24
69,Sp,18,Sp,12
70,Ge,35,En,34
71,Ja,35,Sp,28
72,Ge,45,It,7
73,It,30,It,25
74,Ge,14,It,14
75,Ta,35,Du,43
76,It,20,Ja,5
77,Ja,30,Ta,20
78,Ge,26,Du,13
79,Ge,12,Ge,38
80,Ja,3,It,2
81,It,44,En,32
82,Ge,18,Du,31
83,Sp,42,Sp,32
84,En,24,En,36
85,Ja,39,Ja,17
86,Sp,34,Sp,21
87,It,40,It,27
88,En,16,Ge,37
89,Ge,24,Sp,37
90,Ta,48,Ta,5
91,Ja,44,Ge,34
92,En,8,Du,40
93,Sp,7,Ta,11
94,Du,23,Du,46
95,Ge,41,Ta,10
96,En,35,Ja,37
97,Du,4,Ge,9
98,Ge,47,Ge,23
99,It,16,Ja,34
100,Ta,19,Ge,40
101,It,11,Ge,15
102,Du,34,Du,29
103,Sp,38,Du,10
104,It,22,It,38
105,Sp,31,Ge,20
106,Ge,46,Ta,41
107,En,9,It,35
108,Du,20,En,48
109,Ja,31,Sp,46
110,Du,14,Ta,40
111,Ta,13,It,12
112,En,25,Sp,40
113,Ge,43,It,18
114,Sp,3,En,31
115,Sp,29,Ge,13
116,Du,18,Ge,39
117,En,38,Sp,9
118,Ja,20,Ge,27
119,Ja,26,Sp,8
120,Ta,33,Ta,38
121,En,47,Ge,30
122,It,36,Du,39
123,Ta,42,Ge,3
124,En,6,Du,2
125,Ge,1,Ja,21
126,Ta,37,It,6
127,Ja,7,En,23
128,Sp,1,Ta,8
129,Ta,30,Ta,23
130,Du,19,Ja,19
131,It,15,It,46
132,It,29,Du,47
133,Ta,14,Du,12
134,Ge,48,Ja,11
135,Ja,18,En,1
136,It,1,Du,24
137,Ja,46,Ta,25
138,Ta,45,Ta,43
139,Ta,15,En,18
140,Ge,22,Sp,11
141,En,21,Ja,48
142,It,17,Ta,1
143,Du,38,Ta,21
144,Du,3,Ta,22
145,It,24,Ja,47
146,Ta,34,Ta,47
147,Sp,5,Ge,11
148,Sp,17,It,21
149,Ja,6,Ja,24
150,Sp,41,Sp,23
151,Du,6,Du,44
152,En,19,En,14
153,Ta,28,Ja,25
154,En,15,Ge,44
155,Ta,18,En,43
156,Sp,10,Du,15
157,Sp,36,It,9
158,En,30,Du,48
159,Sp,43,Ta,27
160,Sp,16,It,3
161,Ta,17,It,28
162,Ja,14,En,27
163,Ge,8,Ge,5
164,En,42,En,5
165,En,28,Ge,31
166,Ja,22,Sp,33
167,Du,35,Du,30
168,Ta,4,Sp,4
