Order,L1,Excerpt1,L2,Excerpt2
1,En,30,Ta,48
2,En,10,Sp,1
3,Ge,39,Sp,38
4,Ta,3,It,35
5,It,13,It,10
6,Du,8,Sp,47
7,Ta,17,Ge,38
8,Ta,25,Ja,19
9,Du,35,Ja,45
10,It,7,En,23
11,Ge,19,Ge,4
12,Du,41,En,38
13,Du,10,Ja,25
14,Du,14,En,29
15,En,45,It,33
16,Sp,3,It,2
17,En,31,Du,13
18,Ge,9,Ja,26
19,Ta,35,Sp,43
20,Ge,13,Ge,22
21,Ja,41,Ja,24
22,Sp,36,Ta,36
23,Du,40,Ta,34
24,Sp,10,Ja,7
25,Ge,26,En,19
26,Ja,18,It,40
27,Du,29,Du,1
28,It,9,Du,9
29,Sp,13,It,19
30,Ge,47,It,45
31,Sp,48,En,34
32,Ge,33,En,8
33,Ja,2,Ge,11
34,Ge,36,Sp,25
35,En,46,Ja,20
36,Ta,14,Du,3
37,En,6,It,18
38,Ge,48,Ge,27
39,Ja,12,En,26
40,Du,18,Du,47
41,Sp,7,Sp,23
42,En,39,Ta,38
43,Ta,5,It,21
44,Sp,28,Sp,6
45,Ta,6,Ta,18
46,Sp,31,En,27
47,Sp,18,En,14
48,Ja,21,Du,2
49,En,41,En,24
50,Ta,12,Ge,37
51,Ge,29,Ta,32
52,Ja,43,Ja,46
53,Ge,17,Du,45
54,Du,11,Ja,38
55,It,25,It,15
56,Sp,33,It,26
57,Ge,18,Sp,34
58,En,28,En,20
59,It,46,Ge,25
60,Ja,35,En,22
61,It,38,It,47
62,Ge,34,Du,20
63,Ge,42,Sp,27
64,En,43,Sp,41
65,Ta,16,Ta,43
66,Du,33,Du,36
67,Ja,27,Ta,31
68,En,18,Ja,13
69,En,1,En,13
70,It,32,It,31
71,Du,25,Du,43
72,Sp,44,En,36
73,Du,24,Sp,40
74,Ja,28,En,33
75,It,24,Du,5
76,Du,12,Sp,15
77,Ta,2,Ja,15
78,Ta,21,Ta,24
79,Sp,12,Ge,24
80,Ge,35,Du,46
81,Ja,11,Ja,42
82,Du,19,Ta,46
83,Ta,40,En,11
84,Ja,5,Du,48
85,Du,4,Du,37
86,Sp,24,Sp,14
87,It,5,Ge,10
88,Ta,28,Ta,39
89,Ta,41,It,41
90,It,17,Sp,17
91,Du,38,Sp,39
92,It,34,Ja,9
93,Sp,16,Sp,45
94,Du,32,It,8
95,Sp,21,Du,31
96,Sp,35,Sp,22
97,Ge,44,En,5
98,Ja,36,Ja,22
99,It,48,It,16
100,Ja,47,It,6
101,Ge,23,Ge,32
102,Ja,34,Ge,30
103,Ge,28,It,1
104,En,9,It,4
105,Ta,19,Ja,29
106,It,11,Du,26
107,Du,22,It,37
108,En,44,En,35
109,Du,21,Ta,20
110,Sp,4,Sp,2
111,En,40,Ta,47
112,Ta,8,Ta,11
113,Ge,41,En,16
114,Ja,6,Sp,20
115,It,22,Ja,33
116,Sp,42,Ta,15
117,Ta,44,Ja,14
118,Ge,20,Du,44
119,Sp,11,Ta,37
120,Du,42,Ge,1
121,En,15,Ge,14
122,En,4,En,2
123,En,37,Du,30
124,It,23,Ta,45
125,It,14,Du,34
126,En,47,Ja,17
127,It,30,Ta,9
128,Du,39,En,32
129,Ja,48,Ja,31
130,Ge,43,Sp,30
131,Du,17,En,17
132,It,36,It,42
133,Ja,44,Ja,39
134,Ge,21,Ta,30
135,En,7,En,21
136,Sp,32,Du,15
137,Sp,8,Ta,1
138,Ge,6,En,12
139,En,3,It,28
140,Ja,10,Ge,46
141,Ta,42,Ja,8
142,Du,16,Ta,4
143,Ge,15,It,20
144,En,42,It,44
145,Ge,5,Ta,7
146,Ta,33,En,48
147,Ta,26,En,25
148,It,27,Sp,29
149,Ja,1,Sp,26
150,Du,27,Ta,29
151,Du,6,Ja,32
152,Ja,4,Ge,8
153,Ge,16,Ge,12
154,Du,7,Ge,2
155,It,3,Sp,37
156,Ge,3,Ge,45
157,Ja,23,Ge,31
158,It,29,Ge,7
159,Sp,5,Ja,40
160,Sp,9,Ja,16
161,Ta,27,It,12
162,Ta,22,Ta,13
163,Du,23,Du,28
164,It,43,Ja,37
165,Ta,10,Sp,19
166,Ja,30,It,39
167,Sp,46,Ja,3
168,Ge,40,Ta,23
