Order,L1,Excerpt1,L2,Excerpt2
1,Ge,20,Ge,14
2,Ja,38,Sp,4
3,It,33,Ja,17
4,Du,24,Du,39
5,Sp,30,Ge,24
6,Ge,22,Ge,48
7,Ta,6,It,4
8,Ja,44,Ta,23
9,Sp,28,Sp,7
10,Ja,25,En,9
11,Ta,2,Du,37
12,En,2,It,22
13,Ge,36,It,46
14,Ja,13,Ge,16
15,Ja,11,Ge,23
16,Sp,46,Sp,31
17,Ta,37,Ta,47
18,Ja,7,Sp,42
19,Ja,2,Du,14
20,Ta,10,Ta,48
21,En,8,Ja,20
22,Ja,16,Ta,14
23,En,14,Sp,35
24,Du,27,It,31
25,En,3,Du,43
26,Du,42,Ta,18
27,It,44,Ja,23
28,Sp,8,Ja,4
29,Ta,29,Sp,48
30,Ge,32,Ge,44
31,Du,8,Ta,24
32,It,8,Du,40
33,En,42,Ta,27
34,It,45,Ge,7
35,Du,9,En,19
36,Ge,19,It,13
37,It,10,Ge,26
38,Ja,26,Ta,35
39,It,48,Sp,27
40,Ja,22,Ge,43
41,Du,19,Ja,42
42,Du,15,Ta,5
43,Du,46,Ge,40
44,Ja,24,Ja,34
45,En,43,En,38
46,Ja,41,Ja,1
47,It,16,It,39
48,En,45,It,43
49,It,42,Du,13
50,Ta,12,Ta,34
51,Ge,21,En,31
52,It,9,Ta,38
53,It,11,Ta,41
54,Ta,46,Ge,13
55,En,23,En,30
56,Ge,31,Ge,10
57,En,16,En,13
58,Sp,6,Ja,46
59,Ja,10,Ge,39
60,En,5,Du,20
61,Ta,11,Ge,15
62,Ta,15,Ta,44
63,It,20,En,4
64,It,12,Ja,45
65,Du,22,Ja,8
66,En,25,En,10
67,Sp,32,En,26
68,En,27,Du,31
69,Ta,39,Sp,1
70,Ta,31,Ta,43
71,Du,41,Ge,29
72,En,33,Ta,32
73,Du,38,Du,4
74,Ja,37,Ja,27
75,Ja,19,Ja,29
76,Ge,17,Du,25
77,Sp,21,Du,3
78,Sp,5,Ge,27
79,It,38,Sp,20
80,Du,10,Ge,4
81,Ta,3,It,29
82,Sp,43,It,18
83,En,37,It,25
84,Ge,11,En,21
85,Ja,3,Ja,6
86,It,27,Ge,6
87,Sp,45,It,41
88,It,36,It,23
89,Ja,43,En,11
90,Du,34,Du,29
91,En,39,Ta,36
92,Ta,28,Ge,33
93,Du,12,Du,23
94,Sp,38,It,35
95,Sp,39,Sp,13
96,Ta,40,Ja,30
97,Du,44,Ta,45
98,Sp,29,Ja,32
99,Ta,19,Ja,14
100,Du,17,En,41
101,En,36,It,21
102,Sp,3,Ta,16
103,Ge,5,Ta,22
104,Du,30,En,29
105,Ge,12,En,15
106,Ja,48,Du,5
107,Ta,21,Sp,12
108,En,7,Ge,18
109,Du,48,Sp,11
110,Du,11,Ge,37
111,Ta,17,En,24
112,Ge,47,En,20
113,Du,32,It,15
114,Ta,20,It,40
115,Ta,25,It,47
116,Ja,40,En,35
117,Ja,36,It,26
118,Ge,28,Ja,39
119,Sp,14,Sp,41
120,Du,1,Du,18
121,En,46,En,34
122,It,28,Sp,9
123,Ja,12,Sp,40
124,Du,6,Sp,22
125,It,2,Ja,31
126,Sp,23,Ta,4
127,En,48,Sp,33
128,Du,45,It,32
129,Ja,21,It,24
130,Sp,37,Ge,42
131,Du,28,It,17
132,Sp,25,Sp,47
133,Ge,25,Ge,8
134,Sp,16,Ge,35
135,Ge,30,Ja,5
136,Ja,9,En,40
137,Sp,18,Ta,1
138,It,14,En,32
139,En,17,Sp,19
140,Ja,15,Ja,18
141,Ta,30,Du,21
142,En,22,Sp,26
143,Ja,33,En,1
144,Du,33,Ja,35
145,Ta,7,Ge,45
146,Ta,42,Ge,46
147,Ta,8,En,44
148,Du,47,Du,26
149,En,12,En,6
150,Ge,2,Sp,2
151,Ja,28,Du,35
152,It,3,It,1
153,Sp,36,En,18
154,Sp,17,Sp,24
155,Ge,9,Du,16
156,En,47,Ge,41
157,En,28,Ta,26
158,Ge,34,It,7
159,Du,7,Sp,34
160,Ge,38,Ge,1
161,It,34,It,6
162,It,30,It,5
163,Ja,47,Ta,13
164,It,19,It,37
165,Ta,33,Ta,9
166,Du,2,Sp,10
167,Sp,15,Du,36
168,Sp,44,Ge,3
